2025,Institution,Country / Territory,Rank2025,institution_clean
180,Universiti Kebangsaan Malaysia (UKM),Malaysia,180.0,universiti kebangsaan malaysia ukm
=181,Middle East Technical University,Türkiye,181.0,middle east technical university
=181,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russian Federation,181.0,moscow institute of physics and technology mipt moscow phystech
183,The University of Osaka,Japan,183.0,the university of osaka
=184,HSE University,Russian Federation,184.0,hse university
=184,University of Granada,Spain,184.0,university of granada
=184,University of Illinois at Chicago (UIC),United States of America,184.0,university of illinois at chicago uic
=184,University of Surrey,United Kingdom,184.0,university of surrey
=188,Complutense University of Madrid,Spain,188.0,complutense university of madrid
=188,Rutgers University–New Brunswick,United States of America,188.0,rutgers universitynew brunswick
190,Sejong University,Republic of Korea,190.0,sejong university
=191,Aalborg University,Denmark,191.0,aalborg university
=191,Indiana University Bloomington,United States of America,191.0,indiana university bloomington
=191,Queen's University at Kingston,Canada,191.0,queens university at kingston
=191,The University of Sheffield,United Kingdom,191.0,the university of sheffield
=191,Università di Padova,Italy,191.0,universit di padova
=191,University of Nottingham,United Kingdom,191.0,university of nottingham
=197,Bauman Moscow State Technical University,Russian Federation,197.0,bauman moscow state technical university
=197,Northeastern University,United States of America,197.0,northeastern university
=197,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,197.0,rheinische friedrichwilhelmsuniversitt bonn
=197,Tel Aviv University,Israel,197.0,tel aviv university
201-250,Ajman University,United Arab Emirates,225.5,ajman university
201-250,COMSATS University Islamabad,Pakistan,225.5,comsats university islamabad
201-250,Czech Technical University in Prague,Czechia,225.5,czech technical university in prague
201-250,Duy Tan University,Viet Nam,225.5,duy tan university
201-250,Freie Universitaet Berlin,Germany,225.5,freie universitaet berlin
201-250,Ghent University,Belgium,225.5,ghent university
201-250,IMT Atlantique,France,225.5,imt atlantique
201-250,Indian Institute of Technology Roorkee (IITR),India,225.5,indian institute of technology roorkee iitr
201-250,Instituto Politécnico Nacional (IPN),Mexico,225.5,instituto politcnico nacional ipn
201-250,Istanbul Technical University,Türkiye,225.5,istanbul technical university
201-250,Jilin University,China (Mainland),225.5,jilin university
201-250,Jordan University of Science & Technology,Jordan,225.5,jordan university of science technology
201-250,Lund University,Sweden,225.5,lund university
201-250,National Cheng Kung University (NCKU),Taiwan,225.5,national cheng kung university ncku
201-250,National Technical University of Athens,Greece,225.5,national technical university of athens
201-250,National Yang Ming Chiao Tung University,Taiwan,225.5,national yang ming chiao tung university
201-250,North Carolina State University,United States of America,225.5,north carolina state university
201-250,Norwegian University of Science And Technology,Norway,225.5,norwegian university of science and technology
201-250,Oxford Brookes University,United Kingdom,225.5,oxford brookes university
201-250,Qatar University,Qatar,225.5,qatar university
201-250,Queensland University of Technology (QUT),Australia,225.5,queensland university of technology qut
201-250,Rice University,United States of America,225.5,rice university
201-250,RUDN University,Russian Federation,225.5,rudn university
201-250,Saint Petersburg State University,Russian Federation,225.5,saint petersburg state university
201-250,Shandong University,China (Mainland),225.5,shandong university
201-250,Simon Fraser University,Canada,225.5,simon fraser university
201-250,Swansea University,United Kingdom,225.5,swansea university
201-250,Taylor's University,Malaysia,225.5,taylors university
201-250,Universidad Autónoma de Madrid,Spain,225.5,universidad autnoma de madrid
201-250,Universidad de Buenos Aires (UBA),Argentina,225.5,universidad de buenos aires uba
201-250,Universidad de los Andes,Colombia,225.5,universidad de los andes
201-250,Universidade Federal do Rio de Janeiro,Brazil,225.5,universidade federal do rio de janeiro
