university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
SFU,Computer Science In Big Data Masters,Accepted,F15,International,3.78,170.0,,156.0,4.0
University of California (UCSB),Computer Science Masters,Accepted,F16,International,,,,,
University of Southern California,Computer Science Masters,Accepted,F20,,,,,,
Rice University,Computer Science Masters,Accepted,F15,International,,,,,
University of California,Computer Science Masters,Accepted,F20,International,3.70,162.0,,163.0,3.5
Buffalo State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,,160.0,4.0
Concordia University,Computer Science Masters,Accepted,F15,International,3.68,170.0,,160.0,3.0
New York University,Computer Science Masters,Accepted,F18,International,3.80,170.0,,154.0,3.5
University of Alberta,Computer Science Masters,Accepted,F18,,,,,,
University of Southern California,Computer Science Masters,Accepted,F15,International,,,,,
University of California,Computer Science Masters,Accepted,F15,American,,,,,
Columbia (Fu Foundation),Computer Science Masters,Accepted,S16,American,,,,,
Cornell University,Computer Science Masters,Accepted,F19,International,,,,,
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.60,170.0,,149.0,4.0
University of New Brunswick,Computer Science Masters,Accepted,F20,International,,,,,
ETH Zurich,Computer Science Masters,Accepted,F17,International,,,,,
Amherst College,Computer Science Masters,Accepted,F20,American,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,,,,,
University of North Carolina at Charlotte,Computer Science Masters,Accepted,F17,International,,,,,
University of Southern California,Computer Science - Intelligent Robotics Masters,Accepted,F15,American,,,,,
University of Southern California,Computer Science Masters,Accepted,F19,International,,,,,
University of Texas,Computer Science Masters,Accepted,F15,International,3.70,164.0,,152.0,4.0
ETH Zurich,Computer Science Masters,Accepted,F19,International,3.90,,,,
Northeastern University,Computer Science Masters,Accepted,Spring 2020,International,8.04,170.0,,162.0,4.0
Michigan Technological University,Computer Science Masters,Accepted,F18,,,,,,
University of Southern California,Computer Science Masters,Accepted,F20,International,,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.60,170.0,,161.0,5.0
McGill University,Computer Science Masters,Accepted,F15,International,3.84,168.0,,166.0,5.5
JHU,Computer Science Masters,Accepted,F15,International,3.47,170.0,,154.0,3.5
University of Minnesota Twin Cities,Computer Science Masters,Accepted,F15,International,,,,,
Washington University in St. Louis,Computer Science; Masters,Accepted,S17,International,,170.0,,155.0,4.0
University Of Minnesota,Computer Science Masters,Accepted,F19,International,,,,,
ETH Zurich,Computer Science Masters,Accepted,F15,International,3.70,161.0,,156.0,4.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,4.00,170.0,,162.0,
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,3.60,168.0,,168.0,5.0
CMU,Computer Science Masters,Accepted,F16,International,,,,,
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,,,,,
Rochester Institute of Technology,Computer Science Masters,Accepted,F16,International,,166.0,,157.0,4.5
