university,program,decision,term,citizenship,gpa_raw,gre_total,institution_clean
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.83,800.0,university of massachusetts amherst
University of Texas,Computer Science Masters,Accepted,F16,International,3.9,163.0,university of texas
ETH Zurich,Computer Science (Visual Computing Track) Masters,Accepted,F16,International,3.8,167.0,eth zurich
Arizona State University,Computer Science Masters,Accepted,F15,International,3.4,164.0,arizona state university
University of Alberta,Computer Science Masters,Accepted,F18,International,3.65,170.0,university of alberta
National University,Computer Science Masters,Accepted,F18,International,3.92,170.0,national university
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F18,International,3.64,163.0,university of southern california usc viterbi school of engineering
University of California,Computer Science MS Masters,Accepted,F18,American,3.82,165.0,university of california
University of California (UCSC),Computer Science Masters,Accepted,F15,International,3.94,161.0,university of california ucsc
University of Massachusetts Amherst,Computer Science Masters,Accepted,F16,American,3.3,166.0,university of massachusetts amherst
University of Southern California,Computer Science Masters,Accepted,F20,International,3.72,170.0,university of southern california
University of California,"Computer Science, MEng Masters",Accepted,F16,International,3.9,170.0,university of california
University of Alberta,Computer Science Masters,Accepted,F19,International,3.8,161.0,university of alberta
New York University,Computer Science Masters,Accepted,F15,International,3.97,800.0,new york university
Binghamton University,Computer Science Masters,Accepted,F15,International,3.7,162.0,binghamton university
Penn State University,Computer Science Masters,Accepted,F19,International,3.2,169.0,penn state university
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.5,170.0,university of california irvine
"University of California, Irvine",Computer Science Masters,Accepted,F15,International,3.55,165.0,university of california irvine
CMU MCDS,Computer Science Masters,Accepted,F15,International,3.73,168.0,cmu mcds
San Jose State University,Computer Science Masters,Accepted,F15,International,3.05,168.0,san jose state university
Illinois State University,Computer Science Masters,Accepted,F19,American,4.0,167.0,illinois state university
University of Virginia,Computer Science Masters,Accepted,F19,American,3.89,169.0,university of virginia
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,3.8,169.0,university of massachusetts amherst
Columbia College,Computer Science Masters,Accepted,F15,International,3.6,163.0,columbia college
University of California (UCSB),Computer Science Masters,Accepted,F18,American,3.84,164.0,university of california ucsb
University of Southern California,Computer Science Masters,Accepted,F19,International,3.76,166.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,F17,American,3.48,159.0,university of southern california
Amherst College,Computer Science Masters,Accepted,F19,International,3.4,318.0,amherst college
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F15,International,3.9,169.0,university of illinois urbanachampaign
New Jersey Institute of Technology,Computer Science Masters,Accepted,F17,International,3.3,161.0,new jersey institute of technology
University of Wisconsin,Computer Science Masters,Accepted,F18,American,3.82,162.0,university of wisconsin
Ucb,Computer Science Masters,Accepted,F20,International,3.0,170.0,ucb
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.65,163.0,georgia institute of technology
University of Virginia,Computer Science Masters,Accepted,F17,International,3.75,152.0,university of virginia
University of Southern California,Computer Science (Multimedia & Creative Tech) Masters,Accepted,F18,International,3.88,169.0,university of southern california
UCB,Computer Science MEng Masters,Accepted,F16,International,3.2,165.0,ucb
University of San Diego,Computer Science Masters,Accepted,F19,American,3.6,168.0,university of san diego
University of Pennsylvania,Computer Science Masters,Accepted,F16,International,3.87,162.0,university of pennsylvania
Carnegie Mellon University,Computer Science Masters,Accepted,F20,American,3.8,165.0,carnegie mellon university
Stony Brook University,"Computer Science, Masters (F15) Masters",Accepted,F15,International,3.35,170.0,stony brook university
New York University,Computer Science Masters,Accepted,F17,American,3.03,162.0,new york university
Stanford University,Computer Science Masters,Accepted,F19,International,3.9,156.0,stanford university
University of California-Riverside,Computer Science Masters,Accepted,F19,International,3.5,160.0,university of californiariverside
Penn State University,Computer Science Masters,Accepted,F15,American,3.68,161.0,penn state university
Northeastern University,Computer Science Masters,Accepted,F17,International,3.62,168.0,northeastern university
New York University,Computer Science Masters,Accepted,F16,American,3.96,169.0,new york university
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.61,170.0,university of california irvine
University of California (UCSB),Computer Science Masters,Accepted,F17,International,3.49,170.0,university of california ucsb
University of Rochester,Computer Science Masters,Accepted,F15,International,3.0,170.0,university of rochester
University of Pennsylvania,Computer Science - EMBS Masters,Accepted,F17,American,3.9,170.0,university of pennsylvania
University of Southern California,Computer Science Masters,Accepted,F17,American,2.97,159.0,university of southern california
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,American,3.61,169.0,university of michigan
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.98,170.0,carnegie mellon university
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,147.0,university of delaware
CMU,Computer Science Masters,Accepted,F15,International,3.94,168.0,cmu
Columbia College,Computer Science Masters,Accepted,F18,International,3.5,170.0,columbia college
Columbia College,Computer Science Masters,Accepted,F19,American,3.7,169.0,columbia college
"University of California, Irvine",Computer Science Masters,Accepted,F20,International,3.82,170.0,university of california irvine
Stony Brook University,Computer Science Masters,Accepted,F15,International,3.75,170.0,stony brook university
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.9,330.0,university of massachusetts amherst
The University Of Pennsylvaia (UPenn),Computer Science and Engineering Masters,Accepted,F16,International,3.6,166.0,the university of pennsylvaia upenn
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,S17,American,3.73,167.0,university of southern california
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,170.0,university of delaware
Illinois Institute of Technology,Computer Science Masters,Accepted,F18,International,3.8,163.0,illinois institute of technology
Carnegie Mellon University,Computer Science Masters,Accepted,F15,International,3.75,170.0,carnegie mellon university
University of Toronto,Computer Science Masters,Accepted,F16,International,3.58,170.0,university of toronto
Northeastern University,Computer Science Masters,Accepted,F19,International,3.9,170.0,northeastern university
University of California,Computer Science Masters,Accepted,F20,American,3.75,165.0,university of california
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.77,161.0,georgia institute of technology
University of California (UCLA),Computer Science Masters,Accepted,F15,American,3.6,161.0,university of california ucla
University of Southern California,Computer Science Masters,Accepted,Spring 2020,International,3.68,168.0,university of southern california
Arizona State University,Computer Science Masters,Accepted,F20,International,3.2,169.0,arizona state university
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.5,169.0,north carolina state university
New York University,Computer Science Masters,Accepted,F20,International,3.88,170.0,new york university
Berkeley College,Computer Science Masters,Accepted,F17,American,3.72,165.0,berkeley college
UIC,Computer Science Masters,Accepted,F15,International,3.31,157.0,uic
Davis College,Computer Science Masters,Accepted,F15,International,3.4,163.0,davis college
University of Toronto,Computer Science (Applied Computing) Masters,Accepted,F15,International,3.86,168.0,university of toronto
University of California (UCSC),Computer Science Masters,Accepted,F19,International,3.2,167.0,university of california ucsc
University of California,Computer Science Masters,Accepted,F15,International,3.78,153.0,university of california
Columbia College,Computer Science Masters,Accepted,F15,American,3.41,170.0,columbia college
Arizona State University,Computer Science Masters,Accepted,F19,International,3.6,160.0,arizona state university
University of Southern California,Computer Science (Data Science) Masters,Accepted,F20,American,3.9,164.0,university of southern california
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.84,168.0,university of massachusetts amherst
Carnegie Mellon University,Computer Science - LTI - Intelligent Information Systems Masters,Accepted,F17,International,3.4,170.0,carnegie mellon university
University of Southern California,Computer Science Masters,Accepted,F15,International,3.6,164.0,university of southern california
Columbia College,Computer Science Masters,Accepted,F15,American,3.55,153.0,columbia college
NYU Courant (GSAS),Computer Science(MSCS) Masters,Accepted,F18,International,3.46,170.0,nyu courant gsas
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.95,165.0,university of massachusetts amherst
University Of Pennslyvania (UPenn),Computer Science Masters,Accepted,F16,International,3.85,164.0,university of pennslyvania upenn
Georgia Institute of Technology,Computer Science - Online Masters,Accepted,Spring 2019,International,3.5,170.0,georgia institute of technology
University of Southern California,Computer Science Masters,Accepted,F17,American,3.4,165.0,university of southern california
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.96,165.0,carnegie mellon university
Purdue University,Computer Science Masters,Accepted,F15,International,3.8,169.0,purdue university
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.75,170.0,north carolina state university
Columbia College,Computer Science Masters,Accepted,F15,International,3.78,170.0,columbia college
University of Minnesota Twin Cities,Computer Science Masters,Accepted,F18,International,3.7,170.0,university of minnesota twin cities
Duke University,Computer Science Masters,Accepted,F18,International,3.72,153.0,duke university
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,International,3.73,170.0,university of michigan
University of California,Computer Science Masters,Accepted,F19,International,3.88,169.0,university of california
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.96,170.0,carnegie mellon university
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,3.1,170.0,university of massachusetts amherst
Rutgers University,Computer Science Masters,Accepted,F19,International,3.37,169.0,rutgers university
Princeton University,Computer Science Masters,Accepted,F15,International,3.95,170.0,princeton university
George Washington University,Computer Science Masters,Accepted,F15,International,3.14,165.0,george washington university
"University of California, Irvine",Computer Science Masters,Accepted,F15,American,3.3,158.0,university of california irvine
University of California,Computer Science Masters,Accepted,F19,International,3.8,170.0,university of california
University of Pennsylvania,"Computer Science, Computer Graphics And Game Technology Masters",Accepted,F16,International,3.8,165.0,university of pennsylvania
University of Oxford,Computer Science Masters,Accepted,F18,International,3.8,169.0,university of oxford
"University Of Minnesota, Twin Citites",Computer Science Masters,Accepted,F15,International,3.67,164.0,university of minnesota twin citites
University of Pennsylvania,Computer Science Masters,Accepted,F16,International,3.9,170.0,university of pennsylvania
University of Kansas,Computer Science Masters,Accepted,F19,International,3.0,160.0,university of kansas
University of Southern California,Computer Science - Data Science Masters,Accepted,S17,International,3.5,168.0,university of southern california
Loyola University Chicago,Computer Science Masters,Accepted,F19,International,3.0,168.0,loyola university chicago
University of Southern California,Computer Science (scientists And Engineers) Masters,Accepted,F19,International,3.73,165.0,university of southern california
University of Pennsylvania,Computer Science Masters,Accepted,F19,American,3.65,162.0,university of pennsylvania
University of Southern California,Computer Science- Data Science Masters,Accepted,F16,International,3.9,166.0,university of southern california
Carnegie Mellon University,Computer Science Master Of Science In Robotics Masters,Accepted,F20,American,3.9,164.0,carnegie mellon university
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F16,International,3.15,168.0,technical university of munich tum
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,American,3.7,169.0,university of michigan
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science - Multimedia And Creative Technologies Masters,Accepted,S18,International,3.8,159.0,university of southern california usc viterbi school of engineering
Amherst College,Computer Science Masters,Accepted,F19,International,3.92,168.0,amherst college
Rice University,Computer Science Masters,Accepted,F19,American,3.85,167.0,rice university
