university,program,decision,term,citizenship,gpa_raw,gre_total
University of Chicago,Computer Science Masters,Accepted,F19,American,3.8,167.0
New York University,Computer Science Masters,Accepted,F15,American,3.81,163.0
UC Berkeley (UCB),Computer Science (EECS Meng) Masters,Accepted,F18,American,3.41,167.0
Illinois Institute of Technology,Computer Science Masters,Accepted,F19,International,3.53,161.0
Cornell University,Computer Science Masters,Accepted,F17,American,3.41,168.0
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F17,International,4.0,170.0
Northeastern University,Computer Science Masters,Accepted,F19,International,3.8,166.0
University of Southern California,Computer Science Masters,Accepted,F17,International,3.77,168.0
University of San Diego,Computer Science Masters,Accepted,F20,International,3.75,330.0
Amherst College,Computer Science Masters,Accepted,F15,International,3.8,170.0
Brown University,Computer Science Masters,Accepted,F18,American,3.61,170.0
Brown University,Computer Science Masters,Accepted,F17,American,3.9,167.0
"University of California, Irvine",Computer Science Masters,Accepted,F16,International,3.8,165.0
University of California,"Computer Science, MS CS Masters",Accepted,F18,International,3.96,168.0
UBC,Computer Science Masters,Accepted,F15,International,3.7,164.0
University of San Diego,Computer Science Masters,Accepted,F20,International,3.88,168.0
The City College of New York,Computer Science Masters,Accepted,F16,International,3.8,158.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F17,International,3.0,167.0
University of Michigan,Computer Science Masters,Accepted,F19,International,3.93,169.0
Carnegie Mellon University,Computer Science Masters,Accepted,F15,International,3.8,170.0
University of Dallas,Computer Science Masters,Accepted,F17,American,3.23,163.0
Ohio State University,Computer Science Engineering Masters,Accepted,F18,International,3.98,170.0
Brown University,"Computer Science, Master Masters",Accepted,F17,International,3.6,170.0
Stanford University,Computer Science Masters,Accepted,F19,International,3.98,170.0
Saint Louis University,Computer Science Masters,Accepted,F19,American,3.16,157.0
University Of Washington Tacoma,Computer Science Masters,Accepted,F18,International,3.98,161.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,American,3.95,162.0
Arizona State University,Computer Science Masters,Accepted,F16,International,3.6,167.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F16,International,3.0,165.0
University of Virginia,Computer Science Masters,Accepted,F18,American,3.6,168.0
University of California,Computer Science Masters,Accepted,F15,American,3.2,157.0
University of California,Computer Science Masters,Accepted,F15,International,3.8,170.0
University of Southern California,Computer Science Masters,Accepted,F16,American,3.9,168.0
Syracuse University,Computer Science Masters,Accepted,F15,International,3.05,168.0
Stony Brook University,Computer Science Masters,Accepted,F15,International,3.74,167.0
New York University,Computer Science Masters,Accepted,F18,International,3.7,170.0
Illinois Institute of Technology,Computer Science Masters,Accepted,F19,International,3.53,160.0
New York University,Computer Science Masters,Accepted,F19,International,3.43,167.0
University of Wisconsin,Computer Science (Professional Masters Program) Masters,Accepted,F19,International,3.9,170.0
University of Maryland,Computer Science Masters,Accepted,F16,International,3.82,153.0
