university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.6,170.0,,161.0,5.0
McGill University,Computer Science Masters,Accepted,F15,International,3.84,168.0,,166.0,5.5
JHU,Computer Science Masters,Accepted,F15,International,3.47,170.0,,154.0,3.5
ETH Zurich,Computer Science Masters,Accepted,F15,International,3.7,161.0,,156.0,4.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,4.0,170.0,,162.0,
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,3.6,168.0,,168.0,5.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.4,165.0,,164.0,3.5
University of Chicago,Computer Science Masters,Accepted,S18,International,3.0,163.0,,168.0,3.5
USC,Computer Science Masters,Accepted,F15,International,3.6,167.0,,156.0,3.5
University of Michigan,Computer Science Masters,Accepted,F16,International,3.5,170.0,,160.0,4.0
Park University,Computer Science Masters,Accepted,F15,International,3.94,168.0,,161.0,4.0
Stevens Institute of Technology,Computer Science Masters,Accepted,F19,International,3.3,161.0,,145.0,4.0
"University at Buffalo, State University of New York",Computer Science and Engineering Masters,Accepted,F16,International,3.2,,,,
University of Oxford,Computer Science Masters,Accepted,F16,International,3.94,,,,
Columbia FFSEAS,Computer Science Masters,Accepted,F18,American,3.6,169.0,,164.0,4.5
Austin College,Computer Science Masters,Accepted,F15,International,3.8,159.0,,166.0,4.0
University of Oxford,Computer Science Masters,Accepted,F15,International,3.72,,,,
University of California,Computer Science Masters,Accepted,F16,International,4.0,167.0,,160.0,5.0
Carnegie Mellon University,Computer Science - Robotics Masters,Accepted,F18,International,3.98,170.0,,156.0,4.0
Utah State University,Computer Science Masters,Accepted,F15,International,3.23,168.0,,159.0,3.5
TAMU,Computer Science Masters,Accepted,F17,International,3.76,155.0,,161.0,4.0
University of California,Computer Science Masters,Accepted,F19,International,3.87,167.0,,159.0,4.5
Arizona State University,Computer Science Masters,Accepted,F19,International,3.4,166.0,,153.0,4.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.5,,,,
Brown University,Computer Science Masters,Accepted,F19,International,3.98,165.0,,165.0,4.5
University of Maryland,Computer Science Masters,Accepted,F16,International,3.82,159.0,,170.0,4.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.4,169.0,,154.0,3.5
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science- Intelligent Robotics Masters,Accepted,F17,International,3.64,163.0,,155.0,3.5
University of Iowa,Computer Science Masters,Accepted,F16,International,3.95,,,,
Stanford University,Computer Science Masters,Accepted,F19,American,3.94,169.0,,158.0,4.5
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.33,166.0,,157.0,4.0
University of California,Computer Science Masters,Accepted,F18,International,3.77,169.0,,155.0,3.5
University of California (UCLA),Computer Science Masters,Accepted,F19,American,3.62,165.0,,165.0,4.5
University of Arizona,Computer Science Masters,Accepted,F16,International,3.5,170.0,,160.0,4.0
University of Wisconsin,Computer Science Masters,Accepted,F16,International,3.79,163.0,,153.0,3.5
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.52,167.0,,158.0,4.0
Cornell University,Computer Science Masters,Accepted,F15,American,3.81,157.0,,163.0,4.0
Purdue University,Computer Science Masters,Accepted,F17,International,4.0,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F20,International,3.9,170.0,,160.0,4.5
University of California,Computer Science and Engineering Masters,Accepted,F15,American,3.52,169.0,,155.0,4.5
The University Of Toront,"Computer Science, Applied Computing Masters",Accepted,F18,International,3.6,,,,
Delft University of Technology,Computer Science- Data Science & Technology Track Masters,Accepted,F20,International,3.43,165.0,,154.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,American,3.77,161.0,,164.0,4.0
Buffalo State University,Computer Science Engineering Masters,Accepted,F17,International,3.83,169.0,,146.0,3.0
University of Virginia,Computer Science Masters,Accepted,F15,International,3.75,170.0,,147.0,3.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.7,170.0,,158.0,4.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.44,165.0,,154.0,3.5
University of Florida,Computer Science Masters,Accepted,F15,International,3.45,168.0,,153.0,3.0
University of Wisconsin,Computer Science Masters,Accepted,F19,International,3.58,170.0,,159.0,4.0
Carnegie Mellon University,"Computer Science,LTI,MLT, Masters (F16) Masters",Accepted,F16,International,3.78,167.0,,167.0,3.5
University of Southern California,Computer Science Masters,Accepted,Spring 2020,American,3.63,167.0,,165.0,5.0
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F17,American,3.65,162.0,,167.0,5.0
"University of California, Irvine",Computer Science Masters,Accepted,F17,International,3.7,170.0,,165.0,4.5
Amherst College,Computer Science Masters,Accepted,F15,American,3.3,162.0,,160.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F19,American,3.75,163.0,,161.0,
New York University,Computer Science Masters,Accepted,F17,International,3.35,168.0,,157.0,5.5
"University of California, Los Angeles",Computer Science Masters,Accepted,F17,American,3.65,162.0,,167.0,5.0
University of California,Computer Science Masters,Accepted,F18,International,3.8,168.0,,155.0,4.0
University of Southern California,Computer Science (Networks) Masters,Accepted,F16,International,3.9,169.0,,153.0,3.5
RIT,Computer Science Masters,Accepted,F17,International,3.83,169.0,,146.0,3.0
"University at Buffalo, State University of New York",Computer Science Masters,Accepted,F19,International,3.4,167.0,,158.0,
Columbia College,Computer Science Masters,Accepted,F15,American,3.2,160.0,,157.0,56.0
McGil,Computer Science Masters,Accepted,F18,American,3.14,163.0,,156.0,5.0
Cornell University,Computer Science Masters,Accepted,F19,International,3.45,169.0,,151.0,3.5
University of Toronto,Computer Science Masters,Accepted,F16,American,3.7,160.0,,164.0,5.5
USC Viterbi School Of Enginering,Computer Science Masters,Accepted,F19,International,3.7,164.0,,150.0,3.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.33,168.0,,159.0,3.5
Columbia University,Computer Science Masters,Accepted,F16,American,3.5,168.0,,160.0,3.5
Ohio State University-Main Campus,Computer Science Masters,Accepted,F16,International,3.7,167.0,,155.0,4.0
University of California (UCSC),Computer Science Masters,Accepted,F19,International,9.05,170.0,,151.0,4.0
University of Southern California,Computer Science (Software Engineering) Masters,Accepted,F17,International,3.68,156.0,,147.0,3.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.61,160.0,,160.0,4.0
University of California (UCLA),Computer Science Masters,Accepted,F20,American,3.98,170.0,,161.0,4.5
University of California,Computer Science Masters,Accepted,F18,American,3.6,169.0,,164.0,4.5
Northwestern Universituy,Computer Science Masters,Accepted,F15,International,3.75,167.0,,152.0,3.0
University of Southern California,Computer Science Of Game Development Masters,Accepted,F20,International,3.85,170.0,,160.0,4.0
Columbia College,Computer Science Masters,Accepted,F17,International,4.0,165.0,,168.0,4.0
University of California,Computer Science Masters,Accepted,F17,American,3.15,168.0,,162.0,5.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,International,9.43,170.0,,163.0,5.0
University of Wisconsin,Computer Science Masters,Accepted,F15,International,4.0,167.0,,167.0,5.5
KU Leuven,Computer Science Masters,Accepted,S18,International,3.31,164.0,,148.0,4.0
University of Southern California,Computer Science Masters,Accepted,F20,International,3.4,170.0,,154.0,4.5
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,F18,International,3.9,167.0,,162.0,4.0
Cornell University,Computer Science Masters,Accepted,F15,International,3.7,164.0,,152.0,3.5
North Carolina State University,Computer Science Masters,Accepted,F20,International,8.61,168.0,,161.0,4.0
New York University,Computer Science - Data Science Masters,Accepted,F18,International,8.94,170.0,,157.0,4.0
University of California (UCLA),Computer Science Masters,Accepted,F17,International,3.77,168.0,,163.0,4.0
University of Colorado Boulder,Computer Science Masters,Accepted,F17,American,3.79,159.0,,155.0,4.0
University of Toronto,Computer Science: MSc In Applied Computing Masters,Accepted,F17,International,3.7,169.0,,161.0,4.0
Stanford University,Computer Science Masters,Accepted,F19,International,3.98,,,,
University of Wisconsin,Computer Science Masters,Accepted,F19,American,3.3,158.0,,163.0,4.5
Simon Fraser University,Computer Science Big Data Program Masters,Accepted,F18,International,3.46,,,,
University of Toronto,Computer Science Masters,Accepted,F16,International,3.82,,,,
University of Southern California,Computer Science MS Masters,Accepted,F18,American,3.61,170.0,,160.0,5.5
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.6,169.0,,164.0,4.5
Utah State University,Computer Science Masters,Accepted,F16,International,3.26,164.0,,169.0,4.5
Georgia Institute of Technology,Computer Science Information Security Masters,Accepted,F16,International,3.6,152.0,,170.0,3.5
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.93,170.0,,155.0,3.5
University of California,Computer Science Masters,Accepted,F20,International,9.52,170.0,,158.0,4.0
Arizona State University,Computer Science Masters,Accepted,F15,International,3.86,165.0,,156.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.83,800.0,,680.0,3.0
University of California (UCSC),Computer Science Masters,Accepted,F16,International,7.3,162.0,,156.0,4.5
University of Texas,Computer Science Masters,Accepted,F16,International,3.9,163.0,,144.0,3.0
ETH Zurich,Computer Science (Visual Computing Track) Masters,Accepted,F16,International,3.8,167.0,,158.0,3.0
University of Toronto,Computer Science Masters,Accepted,F19,International,3.7,,,,
University of Alberta,Computer Science Masters,Accepted,F18,International,3.73,,,,
Arizona State University,Computer Science Masters,Accepted,F15,International,3.4,164.0,,147.0,3.0
University of Alberta,Computer Science Masters,Accepted,F18,International,3.65,170.0,,148.0,3.5
National University,Computer Science Masters,Accepted,F18,International,3.92,170.0,,156.0,3.5
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F18,International,3.64,163.0,,140.0,2.5
University of California,Computer Science MS Masters,Accepted,F18,American,3.82,165.0,,160.0,4.0
University of California (UCSC),Computer Science Masters,Accepted,F15,International,3.94,161.0,,151.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F16,American,3.3,166.0,,166.0,5.0
University of Southern California,Computer Science Masters,Accepted,F20,International,3.72,170.0,,159.0,4.0
University of California,"Computer Science, MEng Masters",Accepted,F16,International,3.9,170.0,,164.0,5.5
University of Alberta,Computer Science Masters,Accepted,F19,International,3.8,161.0,,169.0,4.5
New York University,Computer Science Masters,Accepted,F15,International,3.97,800.0,,690.0,4.5
Binghamton University,Computer Science Masters,Accepted,F15,International,3.7,162.0,,146.0,2.5
Penn State University,Computer Science Masters,Accepted,F19,International,3.2,169.0,,154.0,3.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.5,170.0,,152.0,3.0
"University of California, Irvine",Computer Science Masters,Accepted,F15,International,3.55,165.0,,164.0,4.5
Arizona State University,Computer Science Masters,Accepted,F20,International,8.43,170.0,,156.0,4.5
CMU MCDS,Computer Science Masters,Accepted,F15,International,3.73,168.0,,162.0,5.0
San Jose State University,Computer Science Masters,Accepted,F15,International,3.05,168.0,,153.0,4.0
Illinois State University,Computer Science Masters,Accepted,F19,American,4.0,167.0,,164.0,4.0
Northeastern University,Computer Science Masters,Accepted,F19,American,3.35,,,,
Amherst College,Computer Science Masters,Accepted,F19,International,3.9,,,,
University of Virginia,Computer Science Masters,Accepted,F19,American,3.89,169.0,,165.0,4.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,3.8,169.0,,160.0,5.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.6,163.0,,158.0,4.0
University of California (UCSB),Computer Science Masters,Accepted,F18,American,3.84,164.0,,159.0,5.0
Simon Fraser University,Computer Science Big Data Program Masters,Accepted,F17,International,3.7,,,,
University of Southern California,Computer Science Masters,Accepted,F19,International,3.76,166.0,,159.0,5.5
University of California,Computer Science Masters,Accepted,F15,International,8.0,167.0,,157.0,4.5
Simon Fraser University,Computer Science Masters,Accepted,F18,International,4.0,,,,
University of Southern California,Computer Science Masters,Accepted,F17,American,3.48,159.0,,167.0,5.0
Amherst College,Computer Science Masters,Accepted,F19,International,3.4,318.0,,151.0,3.5
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F15,International,3.9,169.0,,158.0,3.5
New Jersey Institute of Technology,Computer Science Masters,Accepted,F17,International,3.3,161.0,,166.0,4.0
University of Wisconsin,Computer Science Masters,Accepted,F18,American,3.82,162.0,,162.0,4.0
Ucb,Computer Science Masters,Accepted,F20,International,3.0,170.0,,156.0,4.5
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.65,163.0,,145.0,3.0
University of Virginia,Computer Science Masters,Accepted,F17,International,3.75,152.0,,168.0,3.5
University of Southern California,Computer Science (Multimedia & Creative Tech) Masters,Accepted,F18,International,3.88,169.0,,161.0,4.0
UCB,Computer Science MEng Masters,Accepted,F16,International,3.2,165.0,,155.0,3.5
Monmouth University,Computer Science Masters,Accepted,F15,International,2.5,,,,
University of San Diego,Computer Science Masters,Accepted,F19,American,3.6,168.0,,170.0,4.5
University of Pennsylvania,Computer Science Masters,Accepted,F16,International,3.87,162.0,,168.0,5.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,American,3.8,165.0,,167.0,4.5
Stony Brook University,"Computer Science, Masters (F15) Masters",Accepted,F15,International,3.35,170.0,,160.0,4.5
New York University,Computer Science Masters,Accepted,F17,American,3.03,162.0,,165.0,4.5
Stanford University,Computer Science Masters,Accepted,F19,International,3.9,156.0,,170.0,4.0
University of California-Riverside,Computer Science Masters,Accepted,F19,International,3.5,160.0,,155.0,3.0
Penn State University,Computer Science Masters,Accepted,F15,American,3.68,161.0,,164.0,5.0
Northeastern University,Computer Science Masters,Accepted,F17,International,3.62,168.0,,151.0,3.0
New York University,Computer Science Masters,Accepted,F16,American,3.96,169.0,,166.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.61,170.0,,160.0,5.5
University of California (UCSB),Computer Science Masters,Accepted,F17,International,3.49,170.0,,161.0,4.0
University of Rochester,Computer Science Masters,Accepted,F15,International,3.0,170.0,,159.0,3.0
Arizona State University,Computer Science Masters,Accepted,F15,International,7.74,162.0,,150.0,3.5
University of Pennsylvania,Computer Science - EMBS Masters,Accepted,F17,American,3.9,170.0,,159.0,3.5
University of Southern California,Computer Science Masters,Accepted,F17,American,2.97,159.0,,161.0,5.0
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,American,3.61,169.0,,162.0,5.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.98,170.0,,162.0,4.0
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,147.0,,170.0,3.0
CMU,Computer Science Masters,Accepted,F15,International,3.94,168.0,,161.0,4.0
Columbia College,Computer Science Masters,Accepted,F18,International,3.5,170.0,,168.0,4.5
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Accepted,F17,International,3.95,,,,
Columbia College,Computer Science Masters,Accepted,F19,American,3.7,169.0,,158.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F20,International,3.82,170.0,,152.0,3.0
Stony Brook University,Computer Science Masters,Accepted,F15,International,3.75,170.0,,147.0,3.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.9,330.0,,160.0,3.5
Carnegie Mellon University,Computer Science (MSCV) Masters,Accepted,F18,International,9.1,166.0,,165.0,4.5
The University Of Pennsylvaia (UPenn),Computer Science and Engineering Masters,Accepted,F16,International,3.6,166.0,,159.0,4.0
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,S17,American,3.73,167.0,,160.0,5.0
University Of Minnesota,Computer Science Masters,Accepted,F19,International,9.99,170.0,,159.0,4.0
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,170.0,,147.0,3.0
Illinois Institute of Technology,Computer Science Masters,Accepted,F18,International,3.8,163.0,,142.0,3.0
Carnegie Mellon University,Computer Science Masters,Accepted,F15,International,3.75,170.0,,150.0,4.0
University of Toronto,Computer Science Masters,Accepted,F16,International,3.58,170.0,,158.0,4.0
Northeastern University,Computer Science Masters,Accepted,F19,International,3.9,170.0,,156.0,4.5
University of California,Computer Science Masters,Accepted,F20,American,3.75,165.0,,148.0,
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.77,161.0,,164.0,4.0
University of California (UCLA),Computer Science Masters,Accepted,F15,American,3.6,161.0,,168.0,3.5
