university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
University of Illinois,Computer Science Masters,Rejected,Spring 2025,International,,,,,
University Of British Columbia,Computer Science Masters,Rejected,Spring 2025,International,3.63,,,,
North Central College,Computer Science Masters,Rejected,Fall 2025,International,3.75,,,,
McMaster University,Computer Science Masters,Rejected,Fall 2024,International,3.63,,,,
McGill University,Computer Science Masters,Rejected,Fall 2024,International,3.94,,,,
McGill University,Computer Science Masters,Rejected,Fall 2024,International,3.95,169.0,,,
McGill University,Computer Science (Thesis) Masters,Rejected,Fall 2024,International,3.88,,,,
McGill University,Computer Science Masters,Rejected,Fall 2024,International,4.00,,,,
McGill University,Computer Science Masters,Rejected,Fall 2024,International,3.93,,,,
New York University,Computer Science Masters,Rejected,Fall 2024,American,,,,,
University of Chicago,Computer Science Masters,Rejected,Fall 2024,International,9.67,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2024,International,,,,,
University Of Toronto,Computer Science Masters,Rejected,Fall 2024,International,,,,,
UBC,Computer Science Masters,Rejected,Fall 2024,International,,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2024,American,3.88,,,,
